PassengerId,Survived
892,0
893,0
894,1
895,0
896,1
897,0
898,0
899,0
900,0
901,0
902,0
903,1
904,1
905,0
906,0
907,0
908,0
909,0
910,1
911,0
912,1
913,0
914,1
915,0
916,1
917,1
918,0
919,0
920,0
921,1
922,1
923,1
924,1
925,0
926,1
927,0
928,0
929,1
930,0
931,1
932,0
933,0
934,1
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,1
943,0
944,1
945,1
946,0
947,1
948,1
949,1
950,1
951,0
952,1
953,1
954,1
955,1
956,0
957,0
958,1
959,0
960,0
961,1
962,0
963,1
964,0
965,1
966,0
967,0
968,0
969,0
970,1
971,0
972,0
973,1
974,1
975,1
976,0
977,1
978,1
979,0
980,1
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,1
990,0
991,1
992,1
993,1
994,0
995,1
996,1
997,0
998,0
999,0
1000,1
1001,1
1002,1
1003,0
1004,0
1005,1
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,1
1016,0
1017,1
1018,1
1019,1
1020,0
1021,1
1022,0
1023,1
1024,0
1025,1
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0
1042,1
1043,1
1044,0
1045,1
1046,1
1047,0
1048,0
1049,0
1050,1
1051,0
1052,1
1053,1
1054,0
1055,0
1056,1
1057,1
1058,0
1059,1
1060,0
1061,0
1062,0
1063,0
1064,1
1065,1
1066,1
1067,1
1068,1
1069,0
1070,0
1071,0
1072,0
1073,1
1074,0
1075,0
1076,1
1077,0
1078,1
1079,0
1080,0
1081,1
1082,1
1083,1
1084,0
1085,1
1086,1
1087,0
1088,1
1089,0
1090,1
1091,0
1092,0
1093,1
1094,1
1095,1
1096,0
1097,0
1098,1
1099,0
1100,0
1101,0
1102,1
1103,1
1104,0
1105,0
1106,0
1107,0
1108,1
1109,0
1110,0
1111,1
1112,0
1113,1
1114,1
1115,1
1116,0
1117,1
1118,0
1119,1
1120,0
1121,0
1122,0
1123,1
1124,1
1125,1
1126,0
1127,0
1128,1
1129,1
1130,0
1131,0
1132,1
1133,0
1134,1
1135,0
1136,0
1137,1
1138,1
1139,0
1140,0
1141,0
1142,1
1143,0
1144,0
1145,1
1146,1
1147,0
1148,1
1149,1
1150,1
1151,1
1152,0
1153,1
1154,0
1155,1
1156,0
1157,0
1158,0
1159,1
1160,0
1161,0
1162,1
1163,1
1164,1
1165,0
1166,0
1167,1
1168,1
1169,0
1170,1
1171,1
1172,1
1173,1
1174,0
1175,1
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1182,0
1183,0
1184,0
1185,0
1186,0
1187,1
1188,0
1189,1
1190,0
1191,1
1192,0
1193,0
1194,1
1195,1
1196,0
1197,1
1198,1
1199,1
1200,0
1201,1
1202,1
1203,0
1204,1
1205,0
1206,1
1207,0
1208,1
1209,0
1210,1
1211,0
1212,0
1213,1
1214,1
1215,0
1216,0
1217,1
1218,0
1219,1
1220,1
1221,0
1222,1
1223,0
1224,1
1225,0
1226,0
1227,1
1228,0
1229,1
1230,0
1231,0
1232,1
1233,1
1234,0
1235,1
1236,1
1237,1
1238,0
1239,1
1240,0
1241,0
1242,0
1243,0
1244,0
1245,1
1246,0
1247,1
1248,0
1249,0
1250,1
1251,0
1252,1
1253,1
1254,0
1255,0
1256,1
1257,1
1258,1
1259,0
1260,0
1261,1
1262,1
1263,1
1264,1
1265,0
1266,1
1267,1
1268,0
1269,1
1270,0
1271,0
1272,0
1273,0
1274,0
1275,1
1276,1
1277,0
1278,0
1279,0
1280,1
1281,1
1282,1
1283,1
1284,0
1285,0
1286,1
1287,1
1288,0
1289,0
1290,0
1291,1
1292,0
1293,0
1294,1
1295,1
1296,1
1297,1
1298,0
1299,0
1300,0
1301,1
1302,0
1303,0
1304,1
1305,1
1306,0
1307,1
1308,0
1309,1
